id,state,category,organization,title,project_value,deadline,ai_score,eligibility,emd,contractor_class,experience,description,direct_url
1,Chhattisgarh,Civil Works,PWD Raipur,Construction of CC Road and Drainage Network in Gudiyaari,₹ 45.00 L,24 Jun 2026,96%,Eligible,₹ 45,000,Class C,1-3 Years,Full-scale excavation and laying of cement concrete roadbeds with integrated subterranean stormwater drainage systems.,https://eproc.cgstate.gov.in
2,Chhattisgarh,Electrical,Bilaspur Nagar Nigam,Supply and Installation of 250W Smart LED Streetlights,₹ 12.00 L,10 Jul 2026,88%,Eligible,₹ 12,000,Class D,No Experience,Procurement and grid integration of energy-efficient 250W smart web-connected LED luminaires.,https://www.cguadfinance.in
3,Chhattisgarh,Coal Supply,SECL Bilaspur,Supply and Mechanical Transportation of Coal (500 MT),₹ 2.36 Cr,01 Aug 2026,98%,Eligible,₹ 2.36 L,Class A,3+ Years,Large-scale industrial transport operations involving lifting bulk crushed coal from open-cast stockpiles.,https://ansh.secl-cil.in
4,Chhattisgarh,Medical Supply,CGMSC Raipur,Bulk Sourcing of Digital 12-Lead ECG Machines,₹ 35.00 L,22 Jul 2026,92%,Eligible,Exempted,Open,1-3 Years,Comprehensive supply logistical distribution and on-site calibration for medical-grade diagnostic equipment.,https://eproc.cgstate.gov.in
5,Chhattisgarh,Government Jobs,CGPSC Raipur,Junior Engineer (Civil) Recruitment,₹ 45,000 /mo,28 Jul 2026,85%,Review Required,Exempted,N/A,No Experience,Core technical deployment within the public works division managing rural highway design layout mappings.,https://psc.cg.gov.in
6,Chhattisgarh,Medical Supply,Apollo Hospitals Raipur,Senior Staff Nurse Openings,₹ 35,000 /mo,19 Jul 2026,78%,Review Required,Exempted,N/A,1-3 Years,Immediate clinical placements for managing emergency triage units and patient critical charts.,https://www.apollohospitals.com
7,Chhattisgarh,IT Services,CHiPS Raipur,Data Center Network Administrator,₹ 75,000 /mo,05 Aug 2026,89%,Eligible,Exempted,N/A,3+ Years,Full-time cloud cluster tracking managing hardware firewalls patch update arrays inside the central hub.,https://chips.gov.in
8,Chhattisgarh,Civil Works,RES Durg Sector,Water Pipeline and Storage Tank Installation,₹ 22.00 L,29 Jul 2026,94%,Eligible,₹ 22,000,Class D,1-3 Years,Excavation and laying of localized HDPE piping distribution tracks and 50KL drinking water storage tanks.,https://egramswaraj.gov.in
9,Uttar Pradesh,Civil Works,UP PWD Gonda,Special Repair and Widening of DMB Highway,₹ 1.85 Cr,18 Jul 2026,91%,Eligible,₹ 1.85 L,Class A,3+ Years,Asphalt overlaying shoulder reinforcement and curve correction over a 12-kilometer high-traffic transport artery.,https://etender.up.nic.in
10,Uttar Pradesh,Medical Supply,Lucknow Nagar Nigam,Emergency Procurement of Sanitization Packs,₹ 8.50 L,05 Jul 2026,97%,Eligible,₹ 8,500,Open,No Experience,Rate contract for rapid emergency stocking of commercial sanitizing compounds.,https://localbodies.up.nic.in
11,Uttar Pradesh,IT Services,UPSSSC Lucknow,Contractual Junior Software Assistants,₹ 35,000 /mo,30 Jul 2026,82%,Review Required,Exempted,N/A,No Experience,Immediate technical placements for processing automated database indexing and localized web endpoints.,https://www.upsssc.gov.in
12,Uttar Pradesh,Civil Works,Panchayati Raj Gorakhpur,Construction of Village Panchayat Bhawan,₹ 24.00 L,25 Jul 2026,95%,Eligible,₹ 24,000,Class C,1-3 Years,Building a dedicated administrative facility featuring masonry walls and network cabling provisions.,https://egramswaraj.gov.in
13,Uttar Pradesh,Transport,NCL Singrauli,Internal Mine Haul Road Maintenance & Tipper Leasing,₹ 1.42 Cr,12 Aug 2026,87%,Review Required,₹ 1.42 L,Class B,3+ Years,Structural grading of internal mine dirt tracks dust suppression wetting runs and leasing of fleets.,https://etender.up.nic.in
14,Uttar Pradesh,IT Services,NIC Lucknow,Senior Python Developer (Cloud Systems),₹ 1.10 L /mo,15 Aug 2026,99%,Eligible,Exempted,N/A,3+ Years,Designing core backend workflows data streaming microservices frameworks and maintaining database structures.,https://nic.up.nic.in
15,Uttar Pradesh,Government Jobs,UP State Road Transport,Assistant Traffic Inspector,₹ 40,000 /mo,26 Jul 2026,76%,Review Required,Exempted,N/A,1-3 Years,Monitoring regional transport dispatch schedules conducting ticket audits across highway routes.,https://upsrtc.up.gov.in
16,Uttar Pradesh,Manufacturing,Kanpur Municipal Corp,Supply of Bulk Liquid Chlorine for Water Treatment,₹ 34.00 L,08 Aug 2026,93%,Eligible,₹ 34,000,Class C,1-3 Years,Continuous supply contract for premium chemical treatment compounds and safe logistical drop-offs.,https://localbodies.up.nic.in